类目,类目链接,型号,描述
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS M50(单机) 防抖性能:5轴电子防抖 上市日期:2018年03月 产品类型:微单 传感器类型:CMOS 传感器尺寸:APS-C画幅（22.3*14.9mm） 有效像素:2410万 光学变焦:0倍,防抖性能:5轴电子防抖 上市日期:2018年03月 产品类型:微单 传感器类型:CMOS 传感器尺寸:APS-C画幅（22.3*14.9mm） 有效像素:2410万 光学变焦:0倍
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能6D Mark II(单机) 全画幅高端单反，外接闪光灯，NFC功能,全画幅高端单反，外接闪光灯，NFC功能
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D810(单机) 精准对焦，高速连拍，全清动画录制,精准对焦，高速连拍，全清动画录制
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能80D(单机) 云存储，45点十字对焦，内置WiFi与NFC,云存储，45点十字对焦，内置WiFi与NFC
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D750(单机) 轻巧机身，亮度重点测光，可翻转LCD屏,轻巧机身，亮度重点测光，可翻转LCD屏
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能6D(单机) 全画幅，高感出众，内置Wi-Fi,全画幅，高感出众，内置Wi-Fi
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能G7 X Mark II 1英寸卡片机，小巧时尚外观，触控操作,1英寸卡片机，小巧时尚外观，触控操作
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS M6(单机) APS-C画幅CMOS传感器，7张/秒连拍速度，全高清视频拍摄,APS-C画幅CMOS传感器，7张/秒连拍速度，全高清视频拍摄
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能G1 X Mark III APS-C画幅传感器，内置电子取景器，支持光学防抖,APS-C画幅传感器，内置电子取景器，支持光学防抖
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D7200(单机) 光学取景，APS-C画幅，EXPEED 4图形处理器,光学取景，APS-C画幅，EXPEED 4图形处理器
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼A7 II(单机) 全画幅，五轴防抖，2430万有效像素，混合对焦,全画幅，五轴防抖，2430万有效像素，混合对焦
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能70D(单机) 触控翻转屏，全像素双核，内置WiFi,触控翻转屏，全像素双核，内置WiFi
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能5D Mark III(单机) 全画幅，61点对焦，防尘防水滴,全画幅，61点对焦，防尘防水滴
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS M100(单机) APS-C画幅CMOS传感器，全高清视频拍摄，内置对焦辅助灯,APS-C画幅CMOS传感器，全高清视频拍摄，内置对焦辅助灯
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS 200D套机(18-55mm IS STM) APS-C画幅相机套机，18-55mm实际焦距，全高清拍摄,APS-C画幅相机套机，18-55mm实际焦距，全高清拍摄
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能60D(单机) RAW图像处理，可旋转屏，创意滤镜,RAW图像处理，可旋转屏，创意滤镜
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D610(单机) 小巧机身，Qc快门释放模式，全高清动画,小巧机身，Qc快门释放模式，全高清动画
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼ILCE-6000(单机) APS-C画幅，4D对焦，OLED电子取景器,APS-C画幅，4D对焦，OLED电子取景器
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D5300(单机) 可翻转LCD屏，无线遥控拍摄，光学取景器,可翻转LCD屏，无线遥控拍摄，光学取景器
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D5(单机) 高感光度，4K视频拍摄，三种自动白平衡模式,高感光度，4K视频拍摄，三种自动白平衡模式
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼A7RII(单机) 全画幅微单，4K视频录制，五轴防抖,全画幅微单，4K视频录制，五轴防抖
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能5Ds(单机) 5060万有效像素，宽容度高,5060万有效像素，宽容度高
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D7100(单机) 高密度自动对焦，光学低通滤镜，全高清摄像,高密度自动对焦，光学低通滤镜，全高清摄像
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼A7RIII(单机) 全画幅Exmor R CMOS传感器，4K超高清视频拍摄，内置WIFI和蓝牙功能,全画幅Exmor R CMOS传感器，4K超高清视频拍摄，内置WIFI和蓝牙功能
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼ILCE-9(单机) 全画幅微单，4K超高清视频拍摄，混合式自动对焦系统,全画幅微单，4K超高清视频拍摄，混合式自动对焦系统
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼A6300(单机) APS-C画幅，高密度智能对焦，4K拍摄,APS-C画幅，高密度智能对焦，4K拍摄
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能80D套机(EF-S 18-135mm IS USM) 中端单反，高像素密度，传感器性能均衡,中端单反，高像素密度，传感器性能均衡
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D800(单机) 全画幅单反，镁合金机身，高密度AF,全画幅单反，镁合金机身，高密度AF
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能700D(单机) APS-C画幅，触控液晶屏，高速连拍,APS-C画幅，触控液晶屏，高速连拍
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D7000(单机) 镁铝合金机身，专业便捷操控性，全高清拍摄,镁铝合金机身，专业便捷操控性，全高清拍摄
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能600D(单机) 全高清短片拍摄，旋转屏设计，小巧机身,全高清短片拍摄，旋转屏设计，小巧机身
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康D500(单机) APS-C画幅，153对焦点，移动物体快速跟踪,APS-C画幅，153对焦点，移动物体快速跟踪
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,富士X-T20(单机) 轻旗舰无反数码相机，高清4K视频拍摄，触摸显示屏,轻旗舰无反数码相机，高清4K视频拍摄，触摸显示屏
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼ILCE-7(单机) 全画幅，增强型混合自动对焦，WIFI功能,全画幅，增强型混合自动对焦，WIFI功能
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能800D(单机) 45点对焦系统，全像素双核对焦，电子五轴防抖,45点对焦系统，全像素双核对焦，电子五轴防抖
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,卡西欧TR750 背照式CMOS传感器，全高清视频拍摄，3.5英寸触摸屏,背照式CMOS传感器，全高清视频拍摄，3.5英寸触摸屏
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS-1D X Mark II(单机) 全画幅，80点对焦，支持实时取景,全画幅，80点对焦，支持实时取景
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS M50套机(EF-M 15-45mm IS STM) 防抖性能:5轴电子防抖 上市日期:2018年03月 产品类型:微单 传感器类型:CMOS 传感器尺寸:APS-C画幅（22.3*14.9mm） 有效像素:2410万 光学变焦:0倍,防抖性能:5轴电子防抖 上市日期:2018年03月 产品类型:微单 传感器类型:CMOS 传感器尺寸:APS-C画幅（22.3*14.9mm） 有效像素:2410万 光学变焦:0倍
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS 77D(单机) APS-C画幅入门单反，全高清拍摄，全像素双核对焦,APS-C画幅入门单反，全高清拍摄，全像素双核对焦
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能EOS M6套机(15-45mm IS STM) APS-C画幅微单，全高清视频拍摄，全像素双核对焦系统,APS-C画幅微单，全高清视频拍摄，全像素双核对焦系统
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,索尼RX100 V 高性能卡片机，超慢动作视频，机内降噪,高性能卡片机，超慢动作视频，机内降噪
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,佳能750D(单机) 触摸翻转屏，内置WiFi与NFC,触摸翻转屏，内置WiFi与NFC
数码相机,http://detail.zol.com.cn/digital_camera_index/subcate15_list_1.html,尼康1 J5(单机) 背照式CMOS，4K超高清视频，支持WIFI和NFC功能,背照式CMOS，4K超高清视频，支持WIFI和NFC功能
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能5D Mark IV(单机) 双对焦系统，7张/秒来连拍，4K视频,双对焦系统，7张/秒来连拍，4K视频
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D850(单机) 全画幅高端单反，4K超高清视频，8K延时摄影,全画幅高端单反，4K超高清视频，8K延时摄影
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,宾得K-1(单机) 全画幅，翻转屏，五轴机身防抖,全画幅，翻转屏，五轴机身防抖
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,徕卡S(Typ 007) 中画幅，全手动操作，4K超高清视频,中画幅，全手动操作，4K超高清视频
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能6D Mark II(单机) 全画幅高端单反，外接闪光灯，NFC功能,全画幅高端单反，外接闪光灯，NFC功能
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D810(单机) 精准对焦，高速连拍，全清动画录制,精准对焦，高速连拍，全清动画录制
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能80D(单机) 云存储，45点十字对焦，内置WiFi与NFC,云存储，45点十字对焦，内置WiFi与NFC
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D750(单机) 轻巧机身，亮度重点测光，可翻转LCD屏,轻巧机身，亮度重点测光，可翻转LCD屏
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能6D(单机) 全画幅，高感出众，内置Wi-Fi,全画幅，高感出众，内置Wi-Fi
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D7200(单机) 光学取景，APS-C画幅，EXPEED 4图形处理器,光学取景，APS-C画幅，EXPEED 4图形处理器
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能70D(单机) 触控翻转屏，全像素双核，内置WiFi,触控翻转屏，全像素双核，内置WiFi
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能5D Mark III(单机) 全画幅，61点对焦，防尘防水滴,全画幅，61点对焦，防尘防水滴
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能EOS 200D套机(18-55mm IS STM) APS-C画幅相机套机，18-55mm实际焦距，全高清拍摄,APS-C画幅相机套机，18-55mm实际焦距，全高清拍摄
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能60D(单机) RAW图像处理，可旋转屏，创意滤镜,RAW图像处理，可旋转屏，创意滤镜
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D610(单机) 小巧机身，Qc快门释放模式，全高清动画,小巧机身，Qc快门释放模式，全高清动画
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D5300(单机) 可翻转LCD屏，无线遥控拍摄，光学取景器,可翻转LCD屏，无线遥控拍摄，光学取景器
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D5(单机) 高感光度，4K视频拍摄，三种自动白平衡模式,高感光度，4K视频拍摄，三种自动白平衡模式
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能5Ds(单机) 5060万有效像素，宽容度高,5060万有效像素，宽容度高
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D7100(单机) 高密度自动对焦，光学低通滤镜，全高清摄像,高密度自动对焦，光学低通滤镜，全高清摄像
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能80D套机(EF-S 18-135mm IS USM) 中端单反，高像素密度，传感器性能均衡,中端单反，高像素密度，传感器性能均衡
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D800(单机) 全画幅单反，镁合金机身，高密度AF,全画幅单反，镁合金机身，高密度AF
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能700D(单机) APS-C画幅，触控液晶屏，高速连拍,APS-C画幅，触控液晶屏，高速连拍
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D7000(单机) 镁铝合金机身，专业便捷操控性，全高清拍摄,镁铝合金机身，专业便捷操控性，全高清拍摄
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能600D(单机) 全高清短片拍摄，旋转屏设计，小巧机身,全高清短片拍摄，旋转屏设计，小巧机身
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D500(单机) APS-C画幅，153对焦点，移动物体快速跟踪,APS-C画幅，153对焦点，移动物体快速跟踪
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能800D(单机) 45点对焦系统，全像素双核对焦，电子五轴防抖,45点对焦系统，全像素双核对焦，电子五轴防抖
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能EOS-1D X Mark II(单机) 全画幅，80点对焦，支持实时取景,全画幅，80点对焦，支持实时取景
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能EOS 77D(单机) APS-C画幅入门单反，全高清拍摄，全像素双核对焦,APS-C画幅入门单反，全高清拍摄，全像素双核对焦
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能750D(单机) 触摸翻转屏，内置WiFi与NFC,触摸翻转屏，内置WiFi与NFC
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能7D Mark II(单机) APS-C画幅，高速连拍，防水滴防尘,APS-C画幅，高速连拍，防水滴防尘
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能EOS-1D X(单机) 全画幅，防水滴防尘，全高清画质,全画幅，防水滴防尘，全高清画质
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D3400(单机) 机身小巧，入门级单反，SnapBridge功能,机身小巧，入门级单反，SnapBridge功能
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能800D套机(18-55mm IS STM) APS-C画幅，全新DIGIC 7处理器，45点对焦系统,APS-C画幅，全新DIGIC 7处理器，45点对焦系统
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D5600(单机) 入门单反，APS-C画幅，全清视频，触摸屏,入门单反，APS-C画幅，全清视频，触摸屏
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能5Ds R(单机) 5060万有效像素，无低通滤镜,5060万有效像素，无低通滤镜
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D7500套机(18-140mm ED VR) EXPEED 5影像处理器，无光学低通滤镜，8幅/秒的连拍速度,EXPEED 5影像处理器，无光学低通滤镜，8幅/秒的连拍速度
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D3200(单机) 3寸液晶屏，2416万像素，Expeed处理器，静音拍摄,3寸液晶屏，2416万像素，Expeed处理器，静音拍摄
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能80D套机(EF-S 18-200mm IS) 中端新力作，单反套机，大变焦镜头,中端新力作，单反套机，大变焦镜头
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D3400套机(18-55mm VR) 上市日期:2016年8月 产品类型:入门单反 传感器类型:CMOS 传感器尺寸:APS画幅（23.5*15.6mm） 有效像素:2416万 光学变焦:0倍 电池类型:锂电池EN-EL14a,上市日期:2016年8月 产品类型:入门单反 传感器类型:CMOS 传感器尺寸:APS画幅（23.5*15.6mm） 有效像素:2416万 光学变焦:0倍 电池类型:锂电池EN-EL14a
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能760D(单机) 搭载肩屏及速控拨盘，内置WiFi与NFC,搭载肩屏及速控拨盘，内置WiFi与NFC
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能1500D套机(EF-S 18-55mm IS II) 产品类型:单反 传感器类型:CMOS 传感器尺寸:22.3×14.9mm 有效像素:2410万 光学变焦:0倍 电池类型:电池LP-E10（1块） 存储卡类型:SD/SDHC/SDXC卡,产品类型:单反 传感器类型:CMOS 传感器尺寸:22.3×14.9mm 有效像素:2410万 光学变焦:0倍 电池类型:电池LP-E10（1块） 存储卡类型:SD/SDHC/SDXC卡
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能6D Mark II套机(24-70mm IS USM) 防抖性能:电子防抖 上市日期:2017年06月 产品类型:高端单反 传感器类型:CMOS 传感器尺寸:全画幅（35.9*24mm） 有效像素:2620万 光学变焦:0倍,防抖性能:电子防抖 上市日期:2017年06月 产品类型:高端单反 传感器类型:CMOS 传感器尺寸:全画幅（35.9*24mm） 有效像素:2620万 光学变焦:0倍
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能5D Mark IV套机(24-105mm) 4K视频，3040万像素，7种对焦模式,4K视频，3040万像素，7种对焦模式
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,宾得645Z(单机) 5140万有效像素，中画幅CMOS，全高清视频拍摄，支持对焦辅助灯，103.7万像素液晶屏,5140万有效像素，中画幅CMOS，全高清视频拍摄，支持对焦辅助灯，103.7万像素液晶屏
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能1300D(单机) 升级版本入门单反，9点对焦系统，WiFi和NFC功能,升级版本入门单反，9点对焦系统，WiFi和NFC功能
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,佳能800D套机(18-135mm IS STM) 全新DIGIC 7处理器，18-135mm实际焦距，全像素双核CMOS AF技术,全新DIGIC 7处理器，18-135mm实际焦距，全像素双核CMOS AF技术
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D800E(单机) 双卡设计，综合除尘系统，镁合金机身,双卡设计，综合除尘系统，镁合金机身
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D750套机(24-120mm) 全画幅高端单反，可翻折LCD屏，WiFi无线性能,全画幅高端单反，可翻折LCD屏，WiFi无线性能
单反,http://detail.zol.com.cn/digital_camera_index/subcate15_list_s1875_1.html,尼康D4s(单机) 全画幅单反，高速连拍，3D跟踪,全画幅单反，高速连拍，3D跟踪
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-FS7 肩扛式摄录一体机，4K电影拍摄及超慢动作，支持多摄像机拍摄,肩扛式摄录一体机，4K电影拍摄及超慢动作，支持多摄像机拍摄
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,佳能XC15 便携式4K专业机，1英寸CMOS传感器,便携式4K专业机，1英寸CMOS传感器
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,三星HMX-F90 52倍光学变焦，2.7寸旋转液晶屏，间隔定拍,52倍光学变焦，2.7寸旋转液晶屏，间隔定拍
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,JVC JY-HM95 肩扛式高清闪存摄录一体机，AVCHD断点续录功能，双SD卡槽,肩扛式高清闪存摄录一体机，AVCHD断点续录功能，双SD卡槽
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,AEE 特种兵系列S51 产品类型:运动摄像机 液晶屏尺寸:2英寸 最大像素:1600万 存储介质:Micro SD卡 录制格式:视频：MOV 音频：WAV 产品重量:85g（不带屏），105g（带屏） 供电时间:充电时间：4小时,产品类型:运动摄像机 液晶屏尺寸:2英寸 最大像素:1600万 存储介质:Micro SD卡 录制格式:视频：MOV 音频：WAV 产品重量:85g（不带屏），105g（带屏） 供电时间:充电时间：4小时
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,GoPro Hero 6 Black 产品类型:运动摄像机 液晶屏尺寸:0英寸 有效像素:800万以上 防抖性能:六轴电子防抖 存储介质:SD卡 产品重量:450g 产品定位:家用摄像机,产品类型:运动摄像机 液晶屏尺寸:0英寸 有效像素:800万以上 防抖性能:六轴电子防抖 存储介质:SD卡 产品重量:450g 产品定位:家用摄像机
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HXR-NX100 摄照一体机，1英寸传感器，12倍光学变焦,摄照一体机，1英寸传感器，12倍光学变焦
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AX60 产品类型:4K摄像机 传感器类型:Exmor RS CMOS 光学变焦:20倍 液晶屏尺寸:0英寸 传感器尺寸:（1/2.5）英寸 有效像素:829万 防抖性能:5轴防抖,产品类型:4K摄像机 传感器类型:Exmor RS CMOS 光学变焦:20倍 液晶屏尺寸:0英寸 传感器尺寸:（1/2.5）英寸 有效像素:829万 防抖性能:5轴防抖
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AX100E 4K机型，1英寸传感器，支持WiFi/NFC,4K机型，1英寸传感器，支持WiFi/NFC
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-Z150 手持式4K摄像机，全指向立体声驻极体麦克风,手持式4K摄像机，全指向立体声驻极体麦克风
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AX700 产品类型:4K摄像机 传感器类型:Exmor RS CMOS 液晶屏尺寸:0英寸 传感器尺寸:1英寸 存储介质:双SD卡 镜头特点:卡尔·蔡司（Vario Tessar）镜头 对焦方式:自动对焦,产品类型:4K摄像机 传感器类型:Exmor RS CMOS 液晶屏尺寸:0英寸 传感器尺寸:1英寸 存储介质:双SD卡 镜头特点:卡尔·蔡司（Vario Tessar）镜头 对焦方式:自动对焦
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下AU-EVA1 产品类型:电影摄像机 液晶屏尺寸:0英寸 存储介质:SD卡 产品定位:专业摄像机 传感器描述:Super 35尺寸传感器 镜头特点:佳能EF镜头卡口 动态影像:4K/60p视频,产品类型:电影摄像机 液晶屏尺寸:0英寸 存储介质:SD卡 产品定位:专业摄像机 传感器描述:Super 35尺寸传感器 镜头特点:佳能EF镜头卡口 动态影像:4K/60p视频
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HXR-MC2500 肩扛式摄录一体机，OLED寻像器，支持WiFi/NFC,肩扛式摄录一体机，OLED寻像器，支持WiFi/NFC
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HDR-CX680 1/5.8英寸Exmor R CMOS，30倍光学变焦，触摸屏,1/5.8英寸Exmor R CMOS，30倍光学变焦，触摸屏
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下AG-DVX200 4/3英寸传感器，13倍光学变焦，5轴混合图像防抖功能,4/3英寸传感器，13倍光学变焦，5轴混合图像防抖功能
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-X280 摄录一体机，17倍变焦，无线功能,摄录一体机，17倍变焦，无线功能
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PMW-EX280 手持式存储卡摄录一体机，多片段连续记录，智能终端操控,手持式存储卡摄录一体机，多片段连续记录，智能终端操控
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-FS5 4K高清闪存摄像机，Super35型单片传感器，支持WIFI和NFC功能,4K高清闪存摄像机，Super35型单片传感器，支持WIFI和NFC功能
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下AG-UX90MC 4K摄录一体机，1英寸MOS感光元件，15倍光学变焦,4K摄录一体机，1英寸MOS感光元件，15倍光学变焦
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HDR-PJ675 高清摄像机，30倍光学变焦，翻转屏,高清摄像机，30倍光学变焦，翻转屏
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HXR-NX3 专业手持摄录一体机，20倍光变，内置LED摄影灯,专业手持摄录一体机，20倍光变，内置LED摄影灯
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-FS5K（E18-105mm） 4K高清闪存摄像机，Super35型单片Exmor CMOS，3.5英寸液晶屏,4K高清闪存摄像机，Super35型单片Exmor CMOS，3.5英寸液晶屏
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,GoPro Hero 5 Black 4K视频，语音控制，触屏功能，防水设计,4K视频，语音控制，触屏功能，防水设计
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AXP55 4K摄像机，20倍光学变焦，电子取景器，光学防抖,4K摄像机，20倍光学变焦，电子取景器，光学防抖
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下AG-UX180MC 1英寸MOS传感器，20倍光学变焦，高精度智能自动聚焦,1英寸MOS传感器，20倍光学变焦，高精度智能自动聚焦
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AX40 4K摄像机，背照式Exmor R CMOS，光学防抖,4K摄像机，背照式Exmor R CMOS，光学防抖
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AX1E 手持型4K摄像机，内置3个ND过滤器，高性能麦克风,手持型4K摄像机，内置3个ND过滤器，高性能麦克风
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下AJ-PX298MC 3MOS传感器，22倍光学变焦，光学防抖,3MOS传感器，22倍光学变焦，光学防抖
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼HDR-CX405 光学防抖，30倍光学变焦，支持双摄录制,光学防抖，30倍光学变焦，支持双摄录制
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-FS7H 高清专业摄像机，SELP18110G镜头，3.5英寸高清屏,高清专业摄像机，SELP18110G镜头，3.5英寸高清屏
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,松下HC-MDH2 肩扛式摄像机，21倍光学变焦，触摸屏,肩扛式摄像机，21倍光学变焦，触摸屏
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AX45 产品类型:4K摄像机 传感器类型:Exmor R CMOS 光学变焦:20倍 液晶屏尺寸:0英寸 防抖性能:5轴防抖 镜头特点:26.8mm广角蔡司镜头 无线性能:WiFi,产品类型:4K摄像机 传感器类型:Exmor R CMOS 光学变焦:20倍 液晶屏尺寸:0英寸 防抖性能:5轴防抖 镜头特点:26.8mm广角蔡司镜头 无线性能:WiFi
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼FDR-AX30 4K摄像机，10倍光学变焦，翻转屏,4K摄像机，10倍光学变焦，翻转屏
数码摄像机,http://detail.zol.com.cn/digital_camcorder/,索尼PXW-FS7IIK 高清专业摄像机，超级35型单芯片传感器，3.5英寸高清屏,高清专业摄像机，超级35型单芯片传感器，3.5英寸高清屏
